Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,
Data,12,field_description,field_name,"auto_lap_duration",,units,"s",,developer_data_index,"13",,field_definition_number,"0",,fit_base_type_id,"132",,
Data,12,field_description,field_name,"auto_lap_distance",,units,"m",,developer_data_index,"14",,field_definition_number,"0",,fit_base_type_id,"132",,
Data,8,field_description,field_name,"lat_gps",,units,"semis",,developer_data_index,"15",,field_definition_number,"0",,fit_base_type_id,"133",,
Data,8,field_description,field_name,"lon_gps",,units,"semis",,developer_data_index,"16",,field_definition_number,"0",,fit_base_type_id,"133",,
Definition,13,field_description,field_name,13,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,,,,
Data,13,field_description,field_name,"serial_number",,developer_data_index,"17",,field_definition_number,"0",,fit_base_type_id,"7",,,,,
Definition,14,field_description,field_name,24,,units,2,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,
Data,14,field_description,field_name,"lap_distance_before_snap",,units,"cm",,developer_data_index,"18",,field_definition_number,"0",,fit_base_type_id,"134",,
Definition,15,field_description,field_name,12,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,,,,
Data,15,field_description,field_name,"workout_type",,developer_data_index,"19",,field_definition_number,"0",,fit_base_type_id,"132",,,,,
Definition,0,field_description,field_name,20,,units,4,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,
Data,0,field_description,field_name,"Leg Spring Stiffness",,units,"kN/m",,developer_data_index,"20",,field_definition_number,"9",,fit_base_type_id,"136",,
Definition,0,field_description,field_name,10,,units,1,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,
Data,0,field_description,field_name,"Form Power",,units,"W",,developer_data_index,"20",,field_definition_number,"8",,fit_base_type_id,"132",,
Definition,0,field_description,field_name,9,,units,1,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,
Data,0,field_description,field_name,"Air Power",,units,"W",,developer_data_index,"20",,field_definition_number,"11",,fit_base_type_id,"132",,
Definition,0,field_description,field_name,21,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,,,,
Data,0,field_description,field_name,"Running Effectiveness",,developer_data_index,"0",,field_definition_number,"1",,fit_base_type_id,"132",,,,,
Definition,0,field_description,field_name,20,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,,,,
Data,0,field_description,field_name,"running_stress_score",,developer_data_index,"0",,field_definition_number,"2",,fit_base_type_id,"132",,,,,
Definition,0,field_description,field_name,26,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,,,,
Data,0,field_description,field_name,"reanalyzer_lap_motion_type",,developer_data_index,"0",,field_definition_number,"3",,fit_base_type_id,"2",,,,,
Definition,0,hr_zone,name,8,,message_index,1,,high_bpm,1,,,,,,,,
Data,0,hr_zone,name,"HR Zone0",,message_index,"0",,high_bpm,"128",bpm,,,,,,,
Data,0,hr_zone,name,"HR Zone1",,message_index,"1",,high_bpm,"147",bpm,,,,,,,
Data,0,hr_zone,name,"HR Zone2",,message_index,"2",,high_bpm,"167",bpm,,,,,,,
Data,0,hr_zone,name,"HR Zone3",,message_index,"3",,high_bpm,"187",bpm,,,,,,,
